ADB,ADM,Admiraballs
BOC,T4B,Ball of Cthulhu
CDC,CDX,Contras
CFB,IBX,Chill Flippin Ballers
CPO,ANC,Pants Optional
CRA,ANC,Castle Crashers
DIH,SHR,Drain in Hell
DSV,AAB,Death Savers
DTP,JUP,DTP
ETB,TDN,Eighteen Ball Deluxe
HHS,HND,Hellhounds
JMF,JUP,Middle Flippers
KNR,GPA,Knight Riders
LAS,IBX,Little League All Stars
NLT,OLF,Northern Lights
NMC,TWP,Neuromancers
PYC,CDX,Pinballycule
PBR,AAB,Point Breakers
PGN,8BT,Pinguins
PKT,COP,Pocketeers
RMS,RAY,Magic Saves
RTR,HND,Ramp Tramps
SCN,GPA,Seacorns
SHK,WAT,Sharks
SKP,BSS,Slap Kraken Pop
SSS,SHR,Silverball Slayers
SWL,8BT,Specials When Lit
TBT,T4B,The B Team
TTT,STN,The Trailer Trashers
TWC,GPA,The Wrecking Crew
