1,20260202,KNR,PBR,AAB
1,20260202,SSS,SSD,BSS
1,20260202,ETB,SRF,GRY
1,20260202,RTR,NMC,TWP
1,20260202,LAS,CPO,ANC
1,20260202,DTP,SWL,8BT
1,20260202,DSV,TRL,T4B
1,20260202,ICB,POW,IBX
1,20260202,HHS,RMS,RAY
1,20260202,PKT,SCN,GPA
1,20260202,BLK,DIH,SHR
1,20260202,TTT,NLT,OLF
1,20260202,TWC,SHK,WAT
1,20260202,CRA,PYC,IBX
1,20260202,PGN,FBP,JUP
1,20260202,TBT,BAD,AAB
1,20260202,DOG,ADB,ADM
1,20260202,JMF,SKP,KRA
2,20260209,SSD,KNR,GPA
2,20260209,SRF,SSS,SHR
2,20260209,NMC,ETB,TDN
2,20260209,CPO,RTR,T4B
2,20260209,SWL,LAS,IBX
2,20260209,TRL,DTP,JUP
2,20260209,POW,DSV,AAB
2,20260209,RMS,ICB,ADM
2,20260209,PBR,HHS,KRA
2,20260209,SCN,BLK,BSS
2,20260209,DIH,TTT,STN
2,20260209,NLT,TWC,GPA
2,20260209,SHK,CRA,ANC
2,20260209,PYC,PGN,8BT
2,20260209,FBP,TBT,T4B
2,20260209,BAD,DOG,HND
2,20260209,ADB,JMF,JUP
2,20260209,SKP,PKT,COP
3,20260216,SKP,KNR,GPA
3,20260216,SCN,SSS,SHR
3,20260216,DIH,ETB,TDN
3,20260216,NLT,RTR,T4B
3,20260216,SHK,LAS,IBX
3,20260216,PYC,DTP,JUP
3,20260216,FBP,DSV,AAB
3,20260216,BAD,ICB,ADM
3,20260216,ADB,HHS,KRA
3,20260216,SRF,TWC,GPA
3,20260216,NMC,CRA,ANC
3,20260216,CPO,PGN,8BT
3,20260216,SWL,TBT,T4B
3,20260216,TRL,DOG,HND
3,20260216,POW,JMF,JUP
3,20260216,RMS,PKT,COP
3,20260216,PBR,BLK,BSS
3,20260216,SSD,TTT,STN
4,20260223,KNR,POW,IBX
4,20260223,SSS,RMS,RAY
4,20260223,ETB,PBR,AAB
